C03557	NCCP(O)(O)=O
C11510	COc1c(Cl)cc(Cl)cc1Cl
C06757	CC1(C=CC(=CC=1)CO)
C11540	CC1OC(=O)C[C@@]2(C)[C@H](CCC(O)=O)C3=CC4=[N+]5C(=Cc6c(CC(O)=O)c(CCC(O)=O)c7CC8=[N+]9C(=C(CC(O)=O)[C@@]8(C)CCC(O)=O)C12N3[Co--]59n67)[C@@H](CCC(O)=O)[C@]4(C)CC(O)=O
C06317	COc1cc(CO)ccc1O
C11868	C=C1(C3(CC4(C1)(C([CH]5(C2(C(=O)OC(CC(O)C(O)2)([CH](CC3)4)5)(C)))C([O-])=O)))
C15919	CC(=CC=CC=C(C=CC=C(C=CC1(C(C)(C)CC(O)CC=1C))C)C)C=CC=C(C=CC=C(C=CC(O)C(O)(C)C)C)C
C16777	CC(C)C12CC1C(=C)CC2
C13827	C(Cl)(Cl)Cl
C19751	CC(=CCCC([CH]1(CCC(=CC1)C))=C)C
C19699	C6(=CC5(C4(=C(C2(NC1(C(Cl)=CC=CC=1C=2C3(=C(C(=O)NC(=O)3)4))))NC=5C(Cl)=C6)))
C15681	CC[C@H]1OC(=O)\C=C\[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\C=C\[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC
C03139	C(=O)([O-])CC(NC(N)=[N+])C(=O)[O-]
D09924	C(O)C1(OC(O)C(O)C(O)C(O)1)
C08425	C=CC(O)CC(=NOS(=O)(=O)[O-])SC1(OC(CO)C(O)C(O)C(O)1)
c03743	C1(C(O)=CC(O)=C(C=1O)O)
C12128	O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)cc1
C16392	Cc1c(cc(NO)cc1[N+]([O-])=O)[N+]([O-])=O
C16234	[O-]C([*])=O
C06175	C[N+]5(C1(C4(C3(C2(=C(C1)C=CC(=C2OC3C(=CC=4)OC)O))(CC5))))
C20129	CC(=O)CC(C1(C=CC=CC=1))C2(C(=O)OC3(=C(C(O)=2)C=CC=C3))
C01757	CC(=O)CC(=O)CC(O)=O
C06423	CCCCCCCC(O)=O
C15699	NCCCCNC(=O)CC[C@H](N)C(O)=O
C16157	C1(C[C@@H](C(=O)O)N)=CC=C(C=C1)Cl
C00553	CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O
C10535	CC4(C)(OC3(C=CC5(C(=O)C1(O)([CH](COC2(C1=CC(OC)=C(OC)C=2))OC(C=3C=C4)=5))))
C00288	C([O-])(=O)O
C18026	CCC(C(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O)C([O-])=O
C10532	C=C(C5(OC2(C(=C3(O[CH]1(COC4(C([CH]1C(=O)C(=C(O)C=2)3)=CC(OC)=C(OC)C=4))))C5)))C
C00116	C(C(O)CO)O
C01244	C1(C(=C([O-])C(I)=CC=1CC(=O)C(=O)[O-])I)
C02932	Oc1ccncc1O
D01138	C(C1(=CC=CC=C1))(=O)OCC2(C=CC=CC=2)
C11838	NC(=O)c1ccc(O)c(c1)N=O
C01215	CC(=O)N\C=C(\CC(O)=O)C(O)=O
C16404	C2(C=CC(C=CC(C1(=C(C=C(C=C(O)1)O)O))=O)=CC=2)
C16071	Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H]3COP(O)(=O)O3)c2cc1C
C04621	C1(=COC(=C1)C(=CC2(=CC=C(O2)[N+](=O)[O-]))C([N+])=O)
C00849	CCOC(=O)C
C14162	C=C1(C3(CC4(C1)(C([CH]5(C2(C(=O)OCC(CCC2)([CH](CC3)4)5)(C)))C([O-])=O)))
C15691	CCC(C)C2(C(=O)OC(C)C(C(NC(CCC1(C=CC(=CC=1)O))C(NC4(C(N(C(C(N(C)C(C(N2)=O)CC3(C=CC(=CC=3)OC))=O)C(C)O)C(CC4)O)=O))=O)=O)NC(C(CCC(N)=O)NC=O)=O)
C11378	COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O
C20773	C1(N=C2(C(=C(N)N=1)N=CN2C4(C(O)C(O)C(CCC(C3(C=C(C([O-])=O)C=CC=3))=O)O4)))
C00604	C2(C=CC3(C=CC1(C=CC=NC=1C(N=2)=3)))
C00601	[CH](=O)CC1(=CC=CC=C1)
C04359	CC(=O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
C02642	C(NC(=O)N)CC([O-])=O
C12155	CC1(C=CC=CCCC=CC=CC=CC=CC(C[CH]2(C(C([O-])=O)C(CC(CC(C(CCC(CC(CC(CC(=O)OC(C)C(C)C1O)O)O)O)O)O)(O)O2)O))OC3(C(C(C(C(C)O3)O)[N+])O))
C00630	CC(C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])C
C08307	C(CNC(C=CC2(C=C1(C(C(OC1=CC=2)C3(C=CC(O)=CC=3))C(NCCCC[N+]=C(N)N)=O)))=O)CC[N+]=C(N)N
C04518	CC(O)C1(O)(CC[CH]3(C(C)1CC[CH]4(C2(C)(CCC(=O)C=C2CC[CH]34))))
C06658	NCC[C@@H](O)[C@H](N1CCC1=O)C(O)=O
C14328	Clc1ccccc1Cl
C06547	C=C
C00341	CC(C)=CCC\C(C)=C\COP(O)(=O)OP(O)(O)=O
C07728	C1(C2(=CC=CC=C(CC(O1)=O)2))
C02080	Oc1cc(=O)c(O)cc2C(=O)OC(=O)c12
C11006	Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
C03149	C(NC(NP(=O)([O-])[O-])=N)CS(=O)([O-])=O
C00922	C\C(C(O)=O)=C(/C)C(O)=O
C17543	CC7(C)(CCC8(C(=O)OC1(C(C(C(C(CO)O1)O)O)O))(CCC2(C)(C(=CC[CH]3(C4(C)(CCC(C(C)(C)[CH](CCC(C)23)4)OC5(C(C(C(C(C(=O)[O-])O5)O)O)OC6(C(C(C(C(CO)O6)O)O)O)))))[CH](C7)8)))
C12367	Cc1c(C(O)=O)c(O)cc2cc3Cc4cc(O)cc(O)c4C(=O)c3c(O)c12
C02277	CCCCCCCCCCCCO
C11543	[H][C@]12[C@H](CC(O)=O)[C@@](C)(CCC(O)=O)C3=[N+]1[Co--]14N5C(=CC6=[N+]1C(C[C@@]1(C)C(CC(O)=O)=C(CCC(O)=O)C(C3)=[N+]41)=C(CCC(O)=O)[C@]6(C)CC(O)=O)[C@@H](CCC(O)=O)[C@](C)(CC(O)=O)[C@]25C
C06163	C[N+]16([CH](C3(=C(CC1)C=C2(C(OCO2)=C3)))CC5(=C(C4(=C(OCO4)C=C5))C6))
C06251	[H][C@@]1(O[C@@](C[C@@H](O)[C@H]1O)(O[C@@H]1C[C@@](OC[C@H]2O[C@@H](OC[C@H]3O[C@H](OP(O)(O)=O)[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]3O)[C@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2OP(O)(O)=O)(O[C@]([H])([C@H](O)CO)[C@@H]1O)C(O)=O)C(O)=O)[C@H](O)CO
C11700	[H][C@]12[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](O)C(C)=C([C@@H](O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C
C20854	CC2(C=C1(C=CC(C)C(CCC(O)CC(O)CC([O-])=O)[CH]1C(O)C2))
C15895	CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C=CC=C(CCC=C(CCCC(OC)(C)C)C)C)C)C)C)C)C
C05557	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CCC[C@H](N)C(O)=O)C(O)=O
C21694	CC(C)C1(CCC2(CCCC(=C)[CH](C(O)1)2)(C))
C12347	[Cl-].[Cl-].Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc12
C17530	CC(=O)OC
C02206	[H][C@@]12CC[C@@]3(C)C=CC(=O)C(C)=C3[C@@]1([H])OC(=O)[C@H]2C
C20465	CC(=O)OC\C=C\c1ccc(O)cc1
C01421	OC[C@H]1O[C@@H](Oc2ccc3ccc(=O)oc3c2O)[C@H](O)[C@@H](O)[C@@H]1O
C05404	[H][C@@](O)(CO[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C=O
C06696	[Pb]
C21730	C(CCNC(CCC(C(=O)[O-])[N+])=O)CC(C(=O)[O-])[N+]
C01586	OC(=O)CNC(=O)c1ccccc1
C16306	C(O)C1(C(O)C(O)C(O)C(O1)OC2(C(O)C(O)C(CO)OC2OC4(C(C3(C=CC(O)=C(O)C=3))=[O+]C5(=C(C=4)C([O-])=CC(O)=C5))))
C02505	C(CC1(C=CC=CC=1))(N)=O
C19309	CC(=O)OC=C
C04099	C1([R])(C(CO)OC(C(C1O)O)OC2(C(CO)OC(C(C2O)O)OC3(C(CO)OC(C(C3O)O)O[R])))
C00363	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)c(=O)[nH]c1=O
C17914	C=C(C)C1(CC2(C)(C(C)CC(=O)C=C(CC1)2))
C10997	C(CCCCCCCNC(N)=[N+])[N+]CCCCCCCCNC(N)=[N+]
C00196	Oc1cccc(C([O-])=O)c1O
C11411	C[C@@H]1CC[C@@H](C[C@H]1O)C(C)=C
C13273	CCCCCCCCCCCCCCCCCC(OCCO)=O
C11735	CCNCC(O)=O
C12026	C([O-])(=O)C([N+])C1(=CC(O)=CC(O)=C1)
C03453	OC(=O)\C=C/CC(=O)C(O)=O
C15746	CCC(C)C2(C(=O)OC(C)C(C(NC(CC1(C=CC(=CC=1)O))C(NC4(C(N(C(C(N(C)C(C(N2)=O)CC3(C=CC=CC=3))=O)C(C)O)C(CC4)O)=O))=O)=O)NC(C(CCC(N)=O)NC(C(CC5(C=CC(=CC=5)O))O)=O)=O)
C11343	ONC(=O)c1ccccc1O
C04207	C1(C=CC(=CC=1)C(=O)NC2(=CC(O)=CC=C(C(=O)[O-])2))
C06718	CC(=O)NC(CSC=O)C(=O)NC2(C(OC1(C(O)C(O)C(O)C(O)C(O)1))OC(C(C2O)O)CO)
C05697	[H]O[Se](=O)(=O)O[H]
C20604	CC(C)=CC1(N4([CH](CC3(=C1NC2(C=C(C=CC=23)OC)))C(N5([CH](C4=O)CCC5))=O))
C20777	CC(C)=CCCC(C)(OC2(C(O)C(C(O)C(COC1(C(O)C(O)C(O)C(CO)O1))O2)O))[CH]3(CCC4([CH]3C(O)C[CH]5(C4(C)CC[CH]6(C5(C)CCC(C(C)(C)6)O)))C)
C02572	COc1cc(ccc1O)\C=C\C(=O)O[C@H]1[C@H](O)C[C@@](O)(C[C@H]1O)C(O)=O
C05446	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCCC(C)CO
C18225	[H][C@@]12CC[C@](C)(CC1=CC[C@@]1([H])C(C)(C)CCC[C@]21C)C=C
C03290	C([O-])(=O)C(C(C1(=CC=CC=C1))O)[N+]
C02952	CC1(C)C2CC(=O)OC1(C)CC2=O
C21412	C(C1(=CC=CC2([CH]1NC3(C=CC=CC(N=2)=3))))(=O)[O-]
C16269	C[C@H]1CCC2=C(C)C(C)(C)[C@H]3CC[C@@]12C3
C21633	COC2(=C(O)C=C3(CN4(CCC1([CH]([CH](C(=O)CC=1)C(=C2)3)4))))
C03868	C(OC1(C(O)C(O)C(O)C(O)C(O)1))(=O)CC2(=CNC3(C=CC=CC2=3))
C21689	CC2(=CCCC1(CC[CH](C(O)(C)C)C[CH]12)C)
C00447	O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)COP(O)(O)=O
C02615	O[C@H](C#N)c1ccccc1
C14722	CC1(C(O)C(C)C(O)C(C)C4(OC(O)C(C=C(C(=O)C3(=C(O)C(=C(O)C2(=C(C(=O)C=C(NC(=O)C(C)=CC=C1)C(=O)2)3))C))C)C(O)C(C)4))
C16141	CC(=C)[C@@H]1CC\C(C)=C\CC\C(C)=C\C1
C05107	[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC=C(C)C
C06689	CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]5NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](NC5=O)C(O)=O)c3O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)c(Cl)c2
C00644	C(C(C(C(C(COP([O-])([O-])=O)O)O)O)O)O
C02046	C[N+]1(C2(CC(CC1CC2)OC(=O)C(CO)C3(=CC=CC=C3)))
C07578	CCCCCC1(=CC(O)=C(C(=C1)O)C2(C=C(CCC2C(C)=C)C))
C08387	CCCCCCCCCCCCCCCCCCCCCCCCCCCCO
C00872	C([N+])(C(=O)[O-])C(=O)[O-]
C19686	C=C(OC1(=CC=CC(=C1N)C(=O)[O-]))C(=O)[O-]
C08814	[C@@H]1([C@@H]([C@H]([C@H]([C@H](O1)CO[C@]2(O[C@@]([C@@H]([C@H](C2)O)NC(C)=O)([H])[C@@H]([C@@H](CO)O)O)C(=O)O)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H](O[C@@H]3CO)O[C@@H]4[C@H]([C@@H](O[C@@H]([C@@H]4O)CO)O[C@H]5[C@@H]([C@H]([C@@H](O[C@@H]5CO)OC[C@@H]([C@@H](/C=C/CCCCCCCCCCCCC)O)NC(=O)*)O)O)O)NC(C)=O)O
C17660	CC(CCC(=O)[O-])[CH]2(CC[CH]3([CH]4(C(O)C[CH]1(CC(O)CCC(C)1[CH](CCC(C)23)4))))
C05003	OC[C@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O
C21162	CC4(=C(OC)C(=O)C3(=C(N2(C[CH]1(N(C)[CH]1C(O)2C(COC(=O)N)3)))C(=O)4))
C11523	CC=C(C(C)C)CCC(C)[CH]3(CC[CH]4(C2(=CC[CH]1(C(C)C(O)CCC(C)1[CH]2CCC(C)34))))
C02356	CC[C@H]([NH3+])C([O-])=O
C21819	CC(C)C1(=C(C=C2(C(=C1)CC[CH]3(C(C)(C)CC(O)CC(C)23)))O)
C21143	CC3(C(O)C(C)C(O)C(C)C(OC(=O)C)C(C)C(OC)C=COC1(C)(OC5(=C(C(=O)1)C4(C(=O)C(=CN(O)N2(CC[N+](C)CC2))C(NC(=O)C(C)=CC=C3)=C(O)C=4C([O-])=C(C)5))))
C19726	CC(=O)C1(CC(O)[CH]2(C(C)1CC[CH]3([CH]2CCC4(=CC(=O)CCC(C)34))))
C18316	CC1(=CC(=O)C([O-])=CC1=O)
C03995	C(C1(C(C(C(C(C1)NC2(C=CC(=CC=2)[N+]([O-])=O))O)=O)O))O
C03142	C2([R3])(C([R2])=C([R1])C(NC1(OC(CO)C(O)C(O)C(O)1))=C([R5])C([R4])=2)
C19948	CC1(=CN(C(=O)NC(=O)1)C3(CC(O)C(COP(=O)([O-])OP([O-])(=O)OC2(OC(C)C(O)C([N+](C)C)C(O)2))O3))
C00729	C[N+]1(C2(CCC1CC(O)C2))
C12368	Cc1c(C(O)=O)c(O)cc2cc3C(=O)c4cc(O)cc(O)c4C(=O)c3c(O)c12
C10126	C1(N=CC=CC=1[CH]2(NCC=CC2))
C16518	C(SCC(N)C(=O)O)(CC2(=CNC1(C=CC=CC=12)))=NO
C19794	C1(N)(C=CN(C(=O)N=1)C2(OC(C(O)C(O)2)COP([O-])(=O)OP(OC3(C(O)C(O)C(O)C(O)C(O)3))([O-])=O))
C08579	CC(\C=C\C=C(C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C
C15651	[H]C(OP(O)(O)=O)=C(O)C(=O)CCSC
C01720	N[C@@H](CCC(N)=O)C(N)=O
C15658	C(O)C2(C(C(C([N+])C(OC1(C(O)C(O)C(O)C(O)C(O)1))O2)O)O)
C03958	NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1
C02939	CC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C16358	Cn1c(=O)[nH]c2nc[nH]c2c1=O
C03994	NNc1ccc(CO)cc1
C06732	C2(=C(C=C(N)C(=O)[O-])C1(C=CC=CC=1N2))
C11155	CCCOC(=O)C1(C=C(O)C(=C(C=1)O)O)
C06124	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(O)(O)=O
C11880	CC(=C3(CC[CH]2(C1(C(C(CCC1)(C)C)CCC2=C3)C)))C
C17929	Cc1[nH]cnc1CCN
C19737	CC(C)=CCC[C@@]1(C)[C@H]2CCC(=C)[C@@H]1C2
C16190	COc1ccc(cc1)C1C(O)Oc2cc(O)ccc2C1=O
C17346	CC(CCCC(C)C(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O)[CH]4(CC[CH]5(C(C)4CC[CH]6([CH]5C(O)C[CH]7(C(C)6CCC(O)C7))))
C08637	OC[C@H]1O[C@@H](O[C@@H]2OC=C(C=O)[C@H]3CC=C(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O
C17061	[Rb+]
C20227	C1(=CC=C(C=C1)C(C(=O)C2(=CC=CC=C2))O)
C03203	[O-]C(=O)C1CCCCN1
C19832	CC(C)=CCCC(C)=CCCC(C)C1(C)(CCC2(=C1CC[CH]3(C(C)2CCC(O)C(C)(C)3)))
C14145	CC(C)(C(O)C(=O)NCCC(=O)NCCSC(CC(CCC(=O)[O-])O)=O)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
C14322	CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
C03174	C(C(NC(CCC([N+])C([O-])=O)=O)C(=O)NCC([O-])=O)SC(CCC([O-])=O)=O
C01162	N[C@@H](Cn1cccn1)C(O)=O
C01267	OP(O)(=O)OCC(=O)Cc1c[nH]cn1
C05822	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]2O)c(=O)n1
C00860	N[C@H](CO)Cc1c[nH]cn1
C16324	CCC=CCC=CC=C1(C(CCCCCCCC([O-])=O)O1)
C02564	C(NC(=O)C=CC1(=CC=C(O)C(=C1)OC))C(=O)[O-]
C12838	OC(=O)\C=C1OC(=O)C=C/1
C02355	C1(=CN(C(=O)NC(=O)1)C3(OC(CO)C2(OP(=O)([O-])OC23)))
C20976	CC1(=C(C(=O)OC)C(=CC2(=CC3(=C(C(=C12)O)C(C4(C(=O)C=C(C(C(C3=O)4O)O)OC)O)=O)))OC5(C(OC)C(C(C(C)O5)O)OC))
C01004	C[n+]1cccc(c1)C([O-])=O
C06561	C2(C(C=CC(C1(C(=CC(=CC(O)=1)O)O))=O)=CC=C(C=2)O)
C06399	[H][C@]12N=C(\C(C)=C3/N=C(/C=C4\N=C(\C(C)=C5/N[C@]1(C)[C@@](C)(CC(O)=O)[C@@H]5CCC(O)=O)[C@@](C)(CC(O)=O)[C@@H]4CCC(O)=O)C(C)(C)[C@@H]3CCC(O)=O)[C@](C)(CCC(O)=O)[C@H]2CC(O)=O
C17784	COC1(C=CC(=CC=1)C2(OC3(=CC(O)=C(OC)C(O)=C(C(=O)C=2)3)))
C15488	FCC=O
C08424	COn1cc(CC(S[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=NOS([O-])(=O)=O)c2ccccc12
C01585	CCCCCC([O-])=O
C18838	CC3(C1(OC2(C(Cl)=C(OC)C=C(OC)C(C(=O)1)=2))C(OC)=CC(=O)C=3)
C05130	O=CCc1c[nH]cn1
C01444	C(C([O-])=O)(=O)N
C19884	CCCCCCCCCCCC(O)CC(=O)NC1(C(OP([O-])([O-])=O)OC(C(O)C(OC(CC(O)CCCCCCCCCCC)=O)1)COC2(C(NC(CC(O)CCCCCCCCCCC)=O)C(OC(CC(O)CCCCCCCCCCC)=O)C(C(O2)CO)OP([O-])(=O)OC3(OCC([N+])C(O)C(O)3)))
C21822	CC(C)C1(C(=CC2(=C(C=1)C(=O)C[CH]3(C(C)(C)CCCC(C)23)))O)
C20890	C(C1(C(C(C(C(O1)=O)O)O)O))([O-])=O
C19739	COC1(C=C(C=C(O)C(O)=1)C2(OC3(C=C([O-])C=C(O)C(C(=O)C=2)=3)))
C04050	ONc1cc[n+]([O-])c2ccccc12
C04586	CCOC(=O)[C@H](C)[C@@H](O)C(=O)OCC
C20178	CC(=CCCC(C12(CC=C(C(C1)2)C))C)C
C20263	CC(O)C(O)C2(CNC1(NC(=NC(C=1N=2)=O)N))
C11215	[As](=O)(O)([O-])[O-]
c01424	C([O-])(=O)C1(C=C(C(=C(C=1)O)O)O)
C03514	CC7(O[CH]1(CC(OCC61([CH](CC(=O)C4(C)([CH](CCC2(C)(C(OC(=O)C3(OC234))C5(=COC=C5)))6))7))=O))(C)
C17219	CSCCCCC(C(O)C(=O)[O-])C(=O)[O-]
C18195	CC(C=CC1(=C(CC(O)CC1(C)C)C))=CC=CC(=CC=O)C
C01710	OC1CCc2ccccc12
C01804	CC(C)=CCNc1ncn(CC[C@H](N)C(O)=O)c2ncnc12
C09827	Oc1cc(O)c2C(=O)C[C@H](Oc2c1)c1ccccc1
C09126	C(O)C4(C(O)C(O)C(O)C(OC3(=CC2(OC=C(C1(C=CC(O)=CC=1))C(=O)C=2C(O)=C3)))O4)
C21112	CC1(C(CCO)=CC=C[N+]=1CC2(C(=NC(=NC=2)C)O))
C19697	ClO
C00029	OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O
C19801	CC1(C)(CCC2(C)([CH](C1)C3(C)(C(C)(CC2)C4(=C(CC3)C5(C)([CH](CC4)C(C)(C)C(O)CC5)))))
C21797	CC(=CC=CC(C)=CCO)C=CC1(=C(C)C=CCC(C)(C)1)
C11511	N[C@@H]([C@H](O)C(O)=O)C(O)=O
C03591	Cc1cc(Cl)cc(O)c1O
C09131	Nc1cc(Cl)c(cc1S(N)(=O)=O)S(N)(=O)=O
C21786	CC=C2(C(O)OC=C(C(=O)OC)C(CC(=O)OCCC1(=CC=C(O)C(O)=C1))2)
C04700	C[C@H](NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@@H]1NC(C)=O)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H](CCCCN)C(O)=O
C01289	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(=O)OP(O)(=O)OC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C
C05556	CC(C)C(NC(=O)C(NC(=O)CCCC([N+])C(=O)[O-])CS)C(=O)[O-]
C18170	[H]C(=O)CCNC(C)=O
C02466	O=P1(OP(=O)(OP(O1)(=O)[O-])[O-])[O-]
C01414	C\C1=C/CC\C(C)=C\C2C(CC\C(C)=C\CC1)C2(C)C
C01087	O[C@H](CCC(O)=O)C(O)=O
C06019	OC[C@@H](O)C(=O)[C@H](O)[C@H](O)COP(O)(O)=O
C11898	[H][C@]12CCC(C)=C([C@@H](O)C[C@]3(C)CC[C@H](OC(C)=O)C(=C)[C@@]3([H])C1)C2(C)C
C06408	CC3(C5(C(C([CH](C4(N=C(C(C)=C1(C(C(CCC(=O)[O-])C(=N1)CC2(C(=C(CCC(=O)[O-])C(=N2)3)C)C)(CC(=O)[O-])C))C(CCC([O-])=O)C(CC(=O)[O-])(C)4)C)N=5)CC(=O)[O-])(C)CCC(=O)[O-]))
C00219	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
C04577	CCCCCC(=O)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O
C16682	CC(=CC=CC(C)=CCO)C=CC1(=C(C)CCCC(C)(C)1)
C21310	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C3(OC2(N1(C4(N=C(N)NC(=O)C(N[CH]1C(O)(C(O)2)3)=4))))
C09789	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc2cc(O)c3C(=O)C[C@H](Oc3c2)c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O
C02714	CC(=O)NCCCCN
C00829	C1(C=C2(C(=CC=1)C=CC=C2))
C03618	C[C@@H]([C@H](N)C(O)=O)C(O)=O
C03005	CNc1ccccc1C([O-])=O
C01989	CCC(C(O)C(O)=O)C(O)=O
C00462	[*-]
C20684	NC(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
C10159	C[C@]1(CC[C@H]2C(CC[C@@H]3[C@]2(C)CCC[C@@]3(C)C(O)=O)=C1)C=C
C21016	CCC(C(NCC(=O)[O-])=O)NC(CCC(C(=O)[O-])[N+])=O
C05264	CCCCCCCC(CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(OC(C(C1OP([O-])(=O)[O-])O)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O)O
C19731	CC1(=C(C=O)C(C)(C)CC(O)C1)
C09538	C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
C04611	O[C@H]1CO[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](OC(=O)Cc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)[C@H](O)[C@H]1O
C01107	C[C@@](O)(CCOP(O)(O)=O)CC(O)=O
C11872	C=C1(C4(CC3(C1)(CC[CH]2(C(C)(CO)CCCC(C)2[CH]3CC4))))
