C03557	NCCP(O)(O)=O
C04015	[H][C@]1(O[C@@](O)(C[C@H](OC(C)=O)[C@H]1NC(C)=O)C([O-])=O)[C@H](O)[C@H](O)CO
C16427	[C@@]12([C@H]3C=C[C@@H]([C@]1(C(N(C2=O)C=4C=CC(=CC4)C(NC=5C6=C(C=CC5)C=CC=N6)=O)=O)[H])C3)[H]
C10516	COC1(C=C2(OCC3(O)(C4(=CC5(OCOC(C=C(O[CH](C(=CC=1)2)3)4)=5)))))
C06507	CC1=C2N3[C@H]([C@H](CC(N)=O)[C@@]2(C)CCC(O)=O)[C@]2(C)[N+]4=C([C@@H](CCC(N)=O)[C@]2(C)CC(N)=O)C(C)=C2[N+]5=C(C=C6[N+](=C1[C@@H](CCC(N)=O)C6(C)C)[Co--]345C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc3c(N)ncnc13)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
C07838	C(C([CH]1(OC(C(C(C1O)O)O)OP([O-])(=O)[O-]))O)O
C02135	CNc1ccc(cc1C(=O)OC)C1CCn2c1nc1ccccc1c2=O
C06355	Oc1cccc(c1)C(=O)c1c(O)cc(O)cc1O
C09066	CC24(CCC1(OC=CC=1[CH]2CCC35(CC(O)(CO)C(C3)CC[CH]45)))
C04608	C1(C=C(O)C=CC=1C2(=CC(=O)C3(C(O)=CC(=CC(O2)=3)OC4(OC(CO)C(O)C(O)C(O)4))))
C12013	CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)c2ccccc2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O
C20223	CC(CCC=C([CH]=O)C)=CCO
C06616	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
C04865	CC(=O)NC2(C(O)OC(COS(=O)(=O)[O-])C(O)C(OC1(OC(C([O-])=O)=CC(O)C(O)1))2)
C11842	CC(O)CC(=O)NC1(CCOC(=O)1)
C05146	O=C1CNC(=O)N1
C20174	C=C(C1(CCC(=C2(CCC(C(C1)2)C))C))C
C06569	C1(SC2(C(O)(NC(=O)CCCC([N+])C(=O)[O-])C(=O)N(C(C(=O)[O-])=C(COC(=O)N)1)2))
C16461	CC(C)=CCC\C(C)=C\C(O)=O
C00826	C(C(CC1(C=CC(C=C1)O)C([O-])=O)[N+])([O-])=O
C04478	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H](O)CC(=O)C(O)=O
C01090	C12C(C3C(C([C@@H](C3)O)*)(C)CC1)CCC4C2(CCCC4)C
C02162	COC3(C1(C=COC=1C(OC)=C2(OC(=O)C=CC2=3)))
C04670	OC(C(*)*)=O
C19732	CC3(CC4(C2(=CCC5(C1(CCC(C(C1CCC(C2(CCC(CC3)4C)C)5C)(CO)C)O)C))))C
